bill_id,bill_number,bill_type,congress,cosponsors_by_party_D,cosponsors_by_party_R,introduced_at,sponsor_SGID,total_cosponser
hr1394-115,1394,hr,115,,2,2017-03-07,1819,2
hr6235-115,6235,hr,115,1,,2018-06-26,1700,1
hr415-115,415,hr,115,3,,2017-01-10,1950,3
hr5488-115,5488,hr,115,,2,2018-04-12,325,2
hr281-115,281,hr,115,,8,2017-01-04,1990,8
hr5871-115,5871,hr,115,3,4,2018-05-17,1949,7
hr112-115,112,hr,115,14,18,2017-01-03,1566,32
hr1234-115,1234,hr,115,1,1,2017-02-27,1755,2
hr58-115,58,hr,115,2,,2017-01-03,593,2
hr1786-115,1786,hr,115,,1,2017-03-29,1572,1
hr50-115,50,hr,115,3,2,2017-01-03,1530,5
hr3361-115,3361,hr,115,26,,2017-07-24,1987,26
hr4144-115,4144,hr,115,11,1,2017-10-26,1397,12
hr5966-115,5966,hr,115,1,2,2018-05-24,1728,3
hr5887-115,5887,hr,115,1,,2018-05-21,187,1
hr31-115,31,hr,115,,3,2017-01-03,1827,3
hr6730-115,6730,hr,115,,3,2018-09-07,450,3
hr5384-115,5384,hr,115,27,,2018-03-22,1858,27
hr4590-115,4590,hr,115,,4,2017-12-07,1502,4
hr157-115,157,hr,115,,1,2017-01-03,515,1
hr5836-115,5836,hr,115,,3,2018-05-16,1882,3
hr2228-115,2228,hr,115,11,21,2017-04-28,1819,32
hr1142-115,1142,hr,115,2,6,2017-02-16,325,8
hr1498-115,1498,hr,115,81,,2017-03-10,231,81
hr6588-115,6588,hr,115,1,,2018-07-26,1896,1
hr3169-115,3169,hr,115,1,2,2017-07-10,1975,3
hr292-115,292,hr,115,1,,2017-01-04,1264,1
hr4535-115,4535,hr,115,3,,2017-12-04,284,3
hr1174-115,1174,hr,115,2,1,2017-02-16,872,3
hr5313-115,5313,hr,115,,7,2018-03-15,1690,7
hr1726-115,1726,hr,115,1,,2017-03-27,1625,1
hr5504-115,5504,hr,115,6,3,2018-04-13,1968,9
hr5015-115,5015,hr,115,46,,2018-02-14,99,46
hr3132-115,3132,hr,115,24,,2017-06-29,1569,24
hr1790-115,1790,hr,115,1,2,2017-03-29,1849,3
hr1343-115,1343,hr,115,4,3,2017-03-02,1718,7
hr6037-115,6037,hr,115,2,4,2018-06-07,1544,6
hr4663-115,4663,hr,115,,2,2017-12-15,1837,2
hr1861-115,1861,hr,115,143,151,2017-04-03,1751,294
hr1950-115,1950,hr,115,5,12,2017-04-05,1495,17
hr2701-115,2701,hr,115,25,7,2017-05-25,1832,32
hr2170-115,2170,hr,115,5,24,2017-04-26,1790,29
hr7281-115,7281,hr,115,38,,2018-12-12,1542,38
hr1592-115,1592,hr,115,,13,2017-03-16,1805,13
hr4476-115,4476,hr,115,,6,2017-11-29,1582,6
hr6269-115,6269,hr,115,2,9,2018-06-28,1948,11
hr5799-115,5799,hr,115,,3,2018-05-15,1499,3
hr4245-115,4245,hr,115,1,6,2017-11-03,1583,7
hr502-115,502,hr,115,194,48,2017-01-12,1459,242
hr4827-115,4827,hr,115,94,7,2018-01-18,1880,101
hr5523-115,5523,hr,115,1,4,2018-04-16,1931,5
hr6326-115,6326,hr,115,25,,2018-07-10,1366,25
hr1220-115,1220,hr,115,9,2,2017-02-27,1449,11
hr5773-115,5773,hr,115,2,5,2018-05-11,1574,7
hr1370-115,1370,hr,115,3,5,2017-03-06,1543,8
hr5678-115,5678,hr,115,4,5,2018-05-07,1637,9
hr7104-115,7104,hr,115,1,,2018-10-30,1881,1
hr2187-115,2187,hr,115,,6,2017-04-27,1766,6
hr1613-115,1613,hr,115,1,3,2017-03-17,1777,4
hr6273-115,6273,hr,115,,4,2018-06-28,1998,4
hr4124-115,4124,hr,115,9,16,2017-10-25,705,25
hr1194-115,1194,hr,115,46,1,2017-02-16,1707,47
hr3078-115,3078,hr,115,5,2,2017-06-27,1943,7
hr3379-115,3379,hr,115,3,1,2017-07-25,1628,4
hr1975-115,1975,hr,115,,1,2017-04-06,1322,1
hr1365-115,1365,hr,115,1,,2017-03-06,1896,1
hr308-115,308,hr,115,,37,2017-01-05,1901,37
hr1897-115,1897,hr,115,17,22,2017-04-04,1548,39
hr1738-115,1738,hr,115,3,,2017-03-27,1681,3
hr974-115,974,hr,115,4,2,2017-02-07,1979,6
hr5697-115,5697,hr,115,14,6,2018-05-08,1474,20
hr675-115,675,hr,115,,1,2017-01-24,1531,1
hr765-115,765,hr,115,5,,2017-01-31,1191,5
hr53-115,53,hr,115,3,,2017-01-03,593,3
hr2802-115,2802,hr,115,1,1,2017-06-07,1628,2
hr1357-115,1357,hr,115,8,2,2017-03-02,1990,10
hr2175-115,2175,hr,115,13,,2017-04-26,1967,13
hr3562-115,3562,hr,115,1,2,2017-07-28,1872,3
hr3730-115,3730,hr,115,62,61,2017-09-11,2004,123
hr5809-115,5809,hr,115,1,3,2018-05-15,1803,4
hr352-115,352,hr,115,,37,2017-01-06,1720,37
hr5040-115,5040,hr,115,1,3,2018-02-15,1002,4
hr4934-115,4934,hr,115,,2,2018-02-05,1016,2
hr6144-115,6144,hr,115,30,1,2018-06-19,306,31
hr2979-115,2979,hr,115,36,14,2017-06-21,1870,50
hr7030-115,7030,hr,115,43,2,2018-10-02,1516,45
hr4331-115,4331,hr,115,8,,2017-11-09,1569,8
hr6541-115,6541,hr,115,,1,2018-07-26,1735,1
hr1040-115,1040,hr,115,,3,2017-02-14,1502,3
hr1377-115,1377,hr,115,37,15,2017-03-07,1648,52
hr4724-115,4724,hr,115,8,6,2017-12-21,1830,14
hr3356-115,3356,hr,115,10,11,2017-07-24,1811,21
hr437-115,437,hr,115,,2,2017-01-11,1564,2
hr6081-115,6081,hr,115,6,12,2018-06-13,1948,18
hr4835-115,4835,hr,115,2,1,2018-01-18,1804,3
hr4019-115,4019,hr,115,1,2,2017-10-11,1954,3
hr2062-115,2062,hr,115,10,8,2017-04-06,1981,18
hr5333-115,5333,hr,115,5,3,2018-03-19,1611,8
hr2240-115,2240,hr,115,12,7,2017-04-28,1922,19
hr793-115,793,hr,115,22,,2017-02-01,1442,22
hr3639-115,3639,hr,115,21,,2017-08-01,705,21
hr7327-115,7327,hr,115,3,2,2018-12-19,1934,5
hr2686-115,2686,hr,115,1,1,2017-05-25,1908,2
hr810-115,810,hr,115,25,,2017-02-01,1007,25
hr2470-115,2470,hr,115,,1,2017-05-16,1455,1
hr3447-115,3447,hr,115,8,4,2017-07-27,1637,12
hr4221-115,4221,hr,115,26,10,2017-11-02,1078,36
hr3957-115,3957,hr,115,,8,2017-10-04,1980,8
